,회사명,종목코드,업종,상장일,최근일 거래량
1178,S&T중공업,003570,자동차 신품 부품 제조업,1976-07-08,49860.0
1179,S&T홀딩스,036530,기타 금융업,2002-10-22,17857.0
1180,S-Oil,010950,석유 정제품 제조업,1987-05-27,832906.0
1181,SK네트웍스,001740,기타 전문 도매업,1977-06-30,724757.0
1182,경동인베스트,012320,기타 금융업,1997-03-07,5540.0
1183,계룡건설산업,013580,토목 건설업,1996-01-30,29165.0
1184,고려제강,002240,1차 철강 제조업,1976-05-25,134836.0
1185,국동,005320,생활용품 도매업,1996-12-24,6121009.0
1186,남양유업,003920,낙농제품 및 식용빙과류 제조업,1978-06-24,5038.0
1187,노루페인트,090350,기타 화학제품 제조업,2006-07-03,213912.0
1188,대상,001680,기타 식품 제조업,1970-04-01,514260.0
1189,대성홀딩스,016710,회사 본부 및 경영 컨설팅 서비스업,1999-12-22,282959.0
1190,대우조선해양,042660,선박 및 보트 건조업,2001-02-02,790864.0
1191,대호에이엘,069460,1차 비철금속 제조업,2002-11-11,311632.0
1192,덴티움,145720,의료용 기기 제조업,2017-03-15,61303.0
1193,동원F&B,049770,기타 식품 제조업,2000-11-23,9677.0
1194,두산중공업,034020,일반 목적용 기계 제조업,2000-10-25,2699622.0
1195,롯데제과,280360,기타 식품 제조업,2017-10-30,7684.0
1196,만호제강,001080,1차 철강 제조업,1977-06-18,10688.0
1197,모나미,005360,생활용품 도매업,1974-06-26,2124193.0
1198,문배철강,008420,1차 철강 제조업,1994-11-05,712907.0
1199,미창석유공업,003650,석유 정제품 제조업,1989-09-27,2562.0
1200,백광산업,001340,기초 화학물질 제조업,1976-06-10,1391823.0
1201,벽산,007210,기타 비금속 광물제품 제조업,1972-01-04,680096.0
1202,부광약품,003000,의약품 제조업,1988-08-05,13032506.0
1203,부국철강,026940,1차 철강 제조업,2008-10-14,276611.0
1204,부산도시가스,015350,연료용 가스 제조 및 배관공급업,1997-06-23,2830.0
1205,비상교육,100220,"서적, 잡지 및 기타 인쇄물 출판업",2008-06-30,77723.0
1206,사조산업,007160,어로 어업,1989-07-25,32458.0
1207,삼성공조,006660,자동차 신품 부품 제조업,1987-11-28,21260.0
1208,삼성생명,032830,보험업,2010-05-12,786401.0
1209,삼성전기,009150,전자부품 제조업,1979-02-27,1003042.0
1210,삼양패키징,272550,플라스틱제품 제조업,2017-11-29,76533.0
1211,삼화전기,009470,전자부품 제조업,1986-11-24,173485.0
1212,새론오토모티브,075180,자동차 신품 부품 제조업,2005-10-21,6378.0
1213,샘표,007540,기타 금융업,1976-06-29,43472.0
1214,서흥,008490,기타 화학제품 제조업,1990-03-27,157318.0
1215,세하,027970,"펄프, 종이 및 판지 제조업",1996-07-03,371290.0
1216,수산중공업,017550,특수 목적용 기계 제조업,1991-08-30,1041152.0
1217,신세계I&C,035510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2006-05-18,10782.0
1218,신세계건설,034300,건물 건설업,2002-06-17,14169.0
1219,신영와코루,005800,봉제의복 제조업,1976-12-28,224.0
1220,신원,009270,봉제의복 제조업,1988-08-24,2290784.0
1221,신풍제지,002870,"펄프, 종이 및 판지 제조업",1976-06-30,100229.0
1222,아주캐피탈,033660,기타 금융업,2009-06-25,62638.0
1223,에스엘,005850,자동차 신품 부품 제조업,1988-11-08,0.0
1224,에이프로젠 KIC,007460,기타 금속 가공제품 제조업,1995-07-08,4358792.0
1225,엘브이엠씨,900140,자동차 판매업,2010-11-30,393421.0
1226,엘에스일렉트릭,010120,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1994-07-11,153152.0
1227,오리온,271560,기타 식품 제조업,2017-07-07,175796.0
1228,우리금융지주,316140,기타 금융업,2019-02-13,2936674.0
1229,우성사료,006980,"곡물가공품, 전분 및 전분제품 제조업",1988-10-10,894292.0
1230,웰바이오텍,010600,상품 중개업,1997-07-18,269440.0
1231,유니온,000910,"시멘트, 석회, 플라스터 및 그 제품 제조업",1996-07-03,813239.0
1232,유안타증권,003470,금융 지원 서비스업,1988-01-21,661742.0
1233,일진머티리얼즈,020150,전자부품 제조업,2011-03-04,689430.0
1234,일진전기,103590,절연선 및 케이블 제조업,2008-08-01,179839.0
1235,잇츠한불,226320,기타 화학제품 제조업,2015-12-28,27546.0
1236,조광피혁,004700,"가죽, 가방 및 유사제품 제조업",1977-05-27,17136.0
1237,조일알미늄,018470,1차 비철금속 제조업,1988-11-22,100323.0
1238,진흥기업,002780,토목 건설업,1977-06-25,200341.0
1239,카카오,035720,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2017-07-10,1677410.0
1240,케이씨티시,009070,도로 화물 운송업,1978-09-29,234400.0
1241,케이티,030200,전기 통신업,1998-12-23,1664822.0
1242,코리안리,003690,재 보험업,1969-12-22,371457.0
1243,코스맥스비티아이,044820,기타 금융업,2006-11-13,132218.0
1244,코오롱머티리얼,144620,화학섬유 제조업,2012-04-05,244064.0
1245,크라운제과,264900,기타 식품 제조업,2017-04-11,32335.0
1246,크라운해태홀딩스,005740,기타 금융업,1976-06-30,42898.0
1247,태림포장,011280,"골판지, 종이 상자 및 종이용기 제조업",1988-12-20,445279.0
1248,태원물산,001420,자동차 신품 부품 제조업,1975-06-24,17527.0
1249,티에이치엔,019180,기타 전기장비 제조업,1996-07-31,313917.0
1250,팬오션,028670,해상 운송업,2007-09-21,1575161.0
1251,평화산업,090080,자동차 신품 부품 제조업,2006-06-02,895585.0
1252,하나투어,039130,여행사 및 기타 여행보조 서비스업,2011-11-01,142533.0
1253,하이골드12호,172580,운송장비 임대업,2013-07-12,1760.0
1254,한국프랜지공업,010100,자동차 신품 부품 제조업,1987-10-02,974778.0
1255,한독,002390,의약품 제조업,1976-06-30,252474.0
1256,한세엠케이,069640,"섬유, 의복, 신발 및 가죽제품 소매업",2011-06-21,20045.0
1257,한솔제지,213500,"펄프, 종이 및 판지 제조업",2015-01-26,179987.0
1258,한솔케미칼,014680,기초 화학물질 제조업,1989-05-20,112261.0
1259,한솔테크닉스,004710,전자부품 제조업,1988-07-06,446179.0
1260,한온시스템,018880,일반 목적용 기계 제조업,1996-07-31,1460424.0
1261,한전산업,130660,"건축기술, 엔지니어링 및 관련 기술 서비스업",2010-12-16,108995.0
1262,한진,002320,도로 화물 운송업,1974-08-12,171030.0
1263,해성디에스,195870,전자부품 제조업,2016-06-24,188273.0
1264,현대리바트,079430,가구 제조업,2005-11-22,358090.0
1265,현대해상,001450,보험업,1989-08-25,416437.0
1266,형지엘리트,093240,봉제의복 제조업,2009-09-28,334596.0
1267,혜인,003010,기계장비 및 관련 물품 도매업,1988-09-20,686698.0
1268,화성산업,002460,건물 건설업,1988-09-29,144760.0
1269,휴비스,079980,화학섬유 제조업,2012-02-23,653290.0
1270,CNH,023460,신탁업 및 집합투자업,1994-10-07,126595.0
1271,DMS,068790,특수 목적용 기계 제조업,2004-10-01,250524.0
1272,IBKS제11호스팩,335890,금융 지원 서비스업,2019-12-03,0.0
1273,KBI메탈,024840,1차 비철금속 제조업,1994-12-29,267457.0
1274,KMH하이텍,052900,플라스틱제품 제조업,2005-01-18,1021690.0
1275,KNN,058400,텔레비전 방송업,2010-11-03,6545067.0
1276,KPX생명과학,114450,기초 의약물질 및 생물학적 제제 제조업,2009-12-22,181293.0
1277,KTH,036030,상품 중개업,1999-12-24,139066.0
1278,KT서브마린,060370,전기 및 통신 공사업,2002-02-15,303667.0
1279,OQP,078590,자동차 신품 부품 제조업,2005-10-27,1521177.0
1280,SBS콘텐츠허브,046140,"영화, 비디오물, 방송프로그램 제작 및 배급업",2003-02-05,127254.0
1281,SG&G,040610,자동차 신품 부품 제조업,2000-04-27,72451.0
1282,SGA,049470,소프트웨어 개발 및 공급업,2001-10-11,313005.0
1283,SNK,950180,소프트웨어 개발 및 공급업,2019-05-07,1170437.0
1284,SV인베스트먼트,289080,기타 금융업,2018-07-06,23109899.0
1285,TPC,048770,일반 목적용 기계 제조업,2001-01-16,142027.0
1286,TS인베스트먼트,246690,신탁업 및 집합투자업,2016-12-15,245317.0
1287,YBM넷,057030,교육지원 서비스업,2004-06-08,4738522.0
1288,iMBC,052220,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2005-01-21,136474.0
1289,가온미디어,078890,통신 및 방송 장비 제조업,2005-07-12,268484.0
1290,경동제약,011040,의약품 제조업,1992-12-18,40627.0
1291,고영,098460,특수 목적용 기계 제조업,2008-06-03,103744.0
1292,골드퍼시픽,038530,생활용품 도매업,2000-06-09,8409905.0
1293,골든센츄리,900280,기타 금융업,2016-10-19,2268552.0
1294,광진윈텍,090150,자동차 신품 부품 제조업,2006-10-20,65920.0
1295,구영테크,053270,자동차 신품 부품 제조업,2002-02-07,602745.0
1296,국보디자인,066620,실내건축 및 건축마무리 공사업,2002-09-05,43809.0
1297,나이스정보통신,036800,전기 통신업,2000-05-03,129121.0
1298,남화산업,111710,스포츠 서비스업,2018-11-29,179583.0
1299,네스엠,056000,소프트웨어 개발 및 공급업,2003-07-11,691264.0
1300,네오오토,212560,자동차 신품 부품 제조업,2015-11-18,45448.0
1301,네오위즈,095660,소프트웨어 개발 및 공급업,2007-07-02,509763.0
1302,네오크레마,311390,기타 식품 제조업,2019-08-22,157011.0
1303,넷게임즈,225570,소프트웨어 개발 및 공급업,2015-09-25,174000.0
1304,노랑풍선,104620,여행사 및 기타 여행보조 서비스업,2019-01-30,72731.0
1305,노바텍,285490,그외 기타 제품 제조업,2018-11-02,134482.0
1306,뉴보텍,060260,플라스틱제품 제조업,2002-02-05,485840.0
1307,다날,064260,소프트웨어 개발 및 공급업,2004-07-23,9690544.0
1308,다우데이타,032190,기계장비 및 관련 물품 도매업,1999-12-21,764169.0
1309,대원미디어,048910,기타 전문 도매업,2001-07-31,159348.0
1310,대한과학,131220,기계장비 및 관련 물품 도매업,2011-10-11,95673.0
1311,대호피앤씨,021040,1차 철강 제조업,1996-08-27,403015.0
1312,대화제약,067080,의약품 제조업,2003-02-14,270281.0
1313,동아화성,041930,고무제품 제조업,2001-12-26,1814877.0
1314,동양파일,228340,"시멘트, 석회, 플라스터 및 그 제품 제조업",2016-04-06,23231.0
1315,디앤씨미디어,263720,"서적, 잡지 및 기타 인쇄물 출판업",2017-08-01,104619.0
1316,디이엔티,079810,특수 목적용 기계 제조업,2005-01-26,499189.0
1317,라닉스,317120,반도체 제조업,2019-09-18,399798.0
1318,라온피플,300120,소프트웨어 개발 및 공급업,2019-10-18,768549.0
1319,랩지노믹스,084650,자연과학 및 공학 연구개발업,2014-12-16,2225811.0
1320,로스웰,900260,기타 금융업,2016-06-30,1724073.0
1321,리더스코스메틱,016100,기타 화학제품 제조업,2003-01-15,59606.0
1322,린드먼아시아,277070,신탁업 및 집합투자업,2018-03-14,206052.0
1323,마니커에프앤지,195500,"도축, 육류 가공 및 저장 처리업",2019-08-20,601562.0
1324,메가엠디,133750,일반 교습 학원,2015-12-18,1900548.0
1325,메드팩토,235980,자연과학 및 공학 연구개발업,2019-12-19,840233.0
1326,메카로,241770,기타 화학제품 제조업,2017-12-06,43410.0
1327,모베이스,101330,통신 및 방송 장비 제조업,2010-02-04,371666.0
1328,모아텍,033200,전자부품 제조업,1997-10-13,564.0
1329,미래에셋대우스팩4호,333430,금융 지원 서비스업,2019-11-06,865.0
1330,바른손이앤에이,035620,"영화, 비디오물, 방송프로그램 제작 및 배급업",1999-08-13,10932917.0
1331,바이오스마트,038460,전자부품 제조업,2000-06-22,344650.0
1332,바텍,043150,의료용 기기 제조업,2006-09-29,106133.0
1333,보광산업,225530,기타 비금속 광물제품 제조업,2015-12-17,195705.0
1334,본느,226340,기타 화학제품 제조업,2015-11-05,566656.0
1335,브릿지바이오,288330,기초 의약물질 및 생물학적 제제 제조업,2019-12-20,229839.0
1336,비엠티,086670,일반 목적용 기계 제조업,2007-11-02,168666.0
1337,비츠로셀,082920,일차전지 및 축전지 제조업,2009-10-28,233090.0
1338,비츠로시스,054220,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2001-12-26,0.0
1339,삼기오토모티브,122350,자동차 신품 부품 제조업,2010-03-19,1272082.0
1340,삼보모터스,053700,자동차 신품 부품 제조업,2001-11-06,155750.0
1341,삼영엠텍,054540,"구조용 금속제품, 탱크 및 증기발생기 제조업",2001-11-15,280631.0
1342,삼천당제약,000250,의약품 제조업,2000-10-04,459876.0
1343,샘코,263540,"항공기,우주선 및 부품 제조업",2017-09-15,0.0
1344,서울옥션,063170,상품 중개업,2008-07-01,105947.0
1345,서한,011370,건물 건설업,1994-05-24,620088.0
1346,성도이엔지,037350,"건축기술, 엔지니어링 및 관련 기술 서비스업",2000-01-11,96511.0
1347,성우전자,081580,통신 및 방송 장비 제조업,2007-10-12,159314.0
1348,세원물산,024830,자동차 신품 부품 제조업,1994-12-29,0.0
1349,셀리버리,268600,자연과학 및 공학 연구개발업,2018-11-09,617600.0
1350,스카이문스테크놀로지,033790,통신 및 방송 장비 제조업,2001-06-26,0.0
1351,시너지이노베이션,048870,의료용 기기 제조업,2004-08-13,506143.0
1352,시큐브,131090,소프트웨어 개발 및 공급업,2011-12-21,3408769.0
1353,신성델타테크,065350,가정용 기기 제조업,2004-08-06,301672.0
1354,신화인터텍,056700,플라스틱제품 제조업,2001-12-13,27329323.0
1355,씨젠,096530,의료용품 및 기타 의약 관련제품 제조업,2010-09-10,3043313.0
1356,아이컴포넌트,059100,전자부품 제조업,2008-12-16,16473.0
1357,아즈텍WB,032080,"섬유제품 염색, 정리 및 마무리 가공업",2000-10-26,158042.0
1358,안랩,053800,소프트웨어 개발 및 공급업,2001-09-13,123776.0
1359,알서포트,131370,소프트웨어 개발 및 공급업,2011-01-05,11265303.0
1360,애니플러스,310200,"영화, 비디오물, 방송프로그램 제작 및 배급업",2018-12-21,1960074.0
1361,어보브반도체,102120,반도체 제조업,2009-06-05,574932.0
1362,에너토크,019990,일반 목적용 기계 제조업,2006-02-01,91268.0
1363,에버다임,041440,특수 목적용 기계 제조업,2003-11-14,41926.0
1364,에스넷,038680,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2000-04-27,236758.0
1365,에스디시스템,121890,전자부품 제조업,2010-07-16,0.0
1366,에스앤에스텍,101490,전자부품 제조업,2009-04-14,5178657.0
1367,에스에이엠티,031330,기계장비 및 관련 물품 도매업,2000-05-23,979237.0
1368,에스와이,109610,"구조용 금속제품, 탱크 및 증기발생기 제조업",2015-12-29,74279.0
1369,에스티큐브,052020,기계장비 및 관련 물품 도매업,2001-07-05,963547.0
1370,에스피지,058610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2002-07-23,144722.0
1371,에이피티씨,089970,특수 목적용 기계 제조업,2018-08-23,162008.0
1372,에코마케팅,230360,광고업,2016-08-08,166786.0
1373,에코바이오,038870,사업시설 유지·관리 서비스업,2001-05-29,454423.0
1374,에코캡,128540,자동차 신품 부품 제조업,2018-12-05,95080.0
1375,에프앤리퍼블릭,064090,상품 종합 도매업,2002-12-17,343378.0
1376,에프엔에스테크,083500,특수 목적용 기계 제조업,2017-02-27,159891.0
1377,엔바이오니아,317870,그외 기타 제품 제조업,2019-10-24,114937.0
1378,엔에이치스팩13호,310840,금융 지원 서비스업,2018-12-24,749.0
1379,엔에이치스팩15,339950,금융 지원 서비스업,2019-12-24,0.0
1380,엘앤케이바이오,156100,의료용 기기 제조업,2016-11-30,475618.0
1381,엘엠에스,073110,전자부품 제조업,2007-10-12,300427.0
1382,엠아이텍,179290,의료용 기기 제조업,2018-11-29,360156.0
1383,엠에스오토텍,123040,자동차 신품 부품 제조업,2010-08-06,1296037.0
1384,엠케이전자,033160,전자부품 제조업,1997-11-10,259463.0
1385,오스템임플란트,048260,의료용 기기 제조업,2007-02-07,222070.0
1386,오이솔루션,138080,통신 및 방송 장비 제조업,2014-02-27,273980.0
1387,올리패스,244460,기초 의약물질 및 생물학적 제제 제조업,2019-09-20,638736.0
1388,와이엠씨,155650,전자부품 제조업,2012-11-15,1121227.0
1389,와이엠티,251370,기초 화학물질 제조업,2017-04-27,1148322.0
1390,와이제이엠게임즈,193250,전자부품 제조업,2014-12-29,286071.0
1391,우리넷,115440,통신 및 방송 장비 제조업,2010-01-27,404251.0
1392,우리조명,037400,전구 및 조명장치 제조업,1999-12-16,144269.0
1393,원익IPS,240810,특수 목적용 기계 제조업,2016-05-02,495072.0
1394,위세아이텍,065370,소프트웨어 개발 및 공급업,2020-02-10,78208.0
1395,유니슨,018000,일반 목적용 기계 제조업,1996-01-10,4806180.0
1396,유니크,011320,자동차 신품 부품 제조업,1993-12-29,1205902.0
1397,유아이디,069330,전자부품 제조업,2003-08-18,0.0
1398,유아이엘,049520,전자부품 제조업,2001-08-02,37554.0
1399,유테크,178780,전자부품 제조업,2015-06-30,209636.0
1400,이미지스,115610,반도체 제조업,2010-02-26,78645.0
1401,이상네트웍스,080010,상품 중개업,2005-09-30,4604.0
1402,이에스브이,223310,소프트웨어 개발 및 공급업,2015-12-24,0.0
1403,이엠코리아,095190,특수 목적용 기계 제조업,2007-10-29,8163594.0
1404,이큐셀,160600,특수 목적용 기계 제조업,2015-06-26,0.0
1405,이퓨쳐,134060,"서적, 잡지 및 기타 인쇄물 출판업",2011-04-27,130336.0
1406,이화공영,001840,건물 건설업,1994-11-23,229203.0
1407,인텔리안테크,189300,통신 및 방송 장비 제조업,2016-10-18,222853.0
1408,인피니트헬스케어,071200,소프트웨어 개발 및 공급업,2010-05-26,326631.0
1409,일신바이오,068330,일반 목적용 기계 제조업,2007-12-26,4546613.0
1410,장원테크,174880,통신 및 방송 장비 제조업,2016-07-15,1098818.0
1411,정원엔시스,045510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2000-09-07,19713.0
1412,제이씨케미칼,137950,기타 화학제품 제조업,2011-08-08,451777.0
1413,제이앤티씨,204270,전자부품 제조업,2020-03-04,1002023.0
1414,제이엘케이,322510,소프트웨어 개발 및 공급업,2019-12-11,288821.0
1415,좋은사람들,033340,봉제의복 제조업,1997-11-03,2672375.0
1416,중앙백신,072020,기초 의약물질 및 생물학적 제제 제조업,2003-10-31,206346.0
1417,지어소프트,051160,소프트웨어 개발 및 공급업,2002-05-28,277035.0
1418,지엔원에너지,270520,"건축기술, 엔지니어링 및 관련 기술 서비스업",2017-08-22,627067.0
1419,지트리비앤티,115450,기타 전문 도매업,2010-03-26,986993.0
1420,청보산업,013720,자동차 신품 부품 제조업,1993-12-29,43208.0
1421,카스,016920,기계장비 및 관련 물품 도매업,1990-01-04,255190.0
1422,카페24,042000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2018-02-08,238213.0
1423,케이비17호스팩,317030,금융 지원 서비스업,2019-03-27,3526.0
1424,케이에스피,073010,일반 목적용 기계 제조업,2004-12-17,888710.0
1425,코리아센터,290510,소프트웨어 개발 및 공급업,2019-11-29,283460.0
1426,큐리언트,115180,자연과학 및 공학 연구개발업,2016-02-29,520463.0
1427,크린앤사이언스,045520,일반 목적용 기계 제조업,2000-12-05,507388.0
1428,태웅,044490,기타 금속 가공제품 제조업,2001-11-08,179807.0
1429,테라셈,182690,반도체 제조업,2014-10-30,188930.0
1430,토박스코리아,215480,"섬유, 의복, 신발 및 가죽제품 소매업",2015-05-13,2281539.0
1431,티케이케미칼,104480,화학섬유 제조업,2011-04-26,738900.0
1432,팅크웨어,084730,통신 및 방송 장비 제조업,2006-05-19,567176.0
1433,파라텍,033540,특수 목적용 기계 제조업,1997-12-26,572451.0
1434,팜스토리,027710,동물용 사료 및 조제식품 제조업,1996-07-06,2068324.0
1435,푸드나무,290720,무점포 소매업,2018-10-04,104920.0
1436,푸른저축은행,007330,은행 및 저축기관,1993-12-07,14756.0
1437,프리엠스,053160,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2001-10-30,37170.0
1438,플랜티넷,075130,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2005-06-10,38200.0
1439,피엔티,137400,특수 목적용 기계 제조업,2012-07-06,1674639.0
1440,피제이메탈,128660,1차 비철금속 제조업,2010-12-13,110239.0
1441,하나머티리얼즈,166090,반도체 제조업,2017-04-28,312565.0
1442,한국선재,025550,1차 철강 제조업,1995-06-19,499470.0
1443,한국전자인증,041460,소프트웨어 개발 및 공급업,2010-11-19,1181250.0
1444,한국정보공학,039740,기타 전문 도매업,2000-07-06,11906.0
1445,한국큐빅,021650,플라스틱제품 제조업,2003-01-24,160169.0
1446,한독크린텍,256150,일반 목적용 기계 제조업,2019-09-05,77409.0
1447,한화플러스제1호스팩,340440,금융 지원 서비스업,2019-12-27,6316.0
1448,현대사료,016790,동물용 사료 및 조제식품 제조업,2018-06-01,198630.0
1449,현우산업,092300,전자부품 제조업,2007-10-24,117948.0
1450,홈캐스트,064240,영상 및 음향기기 제조업,2003-06-11,192379.0
1451,휴메딕스,200670,의약품 제조업,2014-12-26,100451.0
1452,흥구석유,024060,기타 전문 도매업,1994-12-07,373686.0
1453,골프존데카,183410,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2013-11-12,9.0
1454,네추럴FNP,086220,기타 식품 제조업,2015-07-09,0.0
1455,데이터스트림즈,199150,소프트웨어 개발 및 공급업,2014-06-25,427.0
1456,도부마스크,227420,기타 전문 도매업,2016-12-28,25310.0
1457,명진홀딩스,267060,수산물 가공 및 저장 처리업,2017-08-24,3706.0
1458,미코바이오메드,214610,의료용 기기 제조업,2015-06-22,36219.0
1459,비나텍,126340,전자부품 제조업,2013-07-01,2694.0
1460,비엔디생활건강,215050,기타 화학제품 제조업,2015-03-30,1.0
1461,비엔에프코퍼레이션,271780,1차 비철금속 제조업,2018-11-30,0.0
1462,씨앗,103660,기타 화학제품 제조업,2015-06-22,900.0
1463,아이케이세미콘,149010,반도체 제조업,2014-11-14,2.0
1464,애드바이오텍,179530,의약품 제조업,2019-12-24,5.0
1465,에스에이티이엔지,158300,특수 목적용 기계 제조업,2013-07-01,5.0
1466,엔지브이아이,093510,자동차 신품 부품 제조업,2019-09-30,0.0
1467,엘리비젼,276240,영상 및 음향기기 제조업,2018-07-05,34.0
1468,이앤에치,341310,기타 섬유제품 제조업,2019-12-27,6142.0
1469,이에스산업,241510,일반 목적용 기계 제조업,2016-04-26,0.0
1470,제노텍,066830,기타 화학제품 제조업,2016-07-18,713.0
1471,청광건설,140290,토목 건설업,2013-12-20,1.0
1472,펨토바이오메드,327610,자연과학 및 공학 연구개발업,2019-07-10,11241.0
1473,피엔에이치테크,239890,기초 화학물질 제조업,2016-08-16,49.0
1474,CS홀딩스,000590,기타 금융업,1975-12-22,7010.0
1475,DB,012030,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1993-01-06,1244249.0
1476,DB손해보험,005830,보험업,1973-06-28,365250.0
1477,GS리테일,007070,종합 소매업,2011-12-23,478660.0
1478,HDC,012630,기타 금융업,1996-10-16,434683.0
1479,JW생명과학,234080,의약품 제조업,2016-10-27,940342.0
1480,KC그린홀딩스,009440,기타 금융업,1994-11-05,110647.0
1481,KR모터스,000040,그외 기타 운송장비 제조업,1976-05-25,1071899.0
1482,LG유플러스,032640,전기 통신업,2008-04-21,1773723.0
1483,SPC삼립,005610,기타 식품 제조업,1975-05-02,18771.0
1484,경농,002100,"비료, 농약 및 살균, 살충제 제조업",1977-06-30,200469.0
1485,경동도시가스,267290,연료용 가스 제조 및 배관공급업,2017-05-12,10160.0
1486,경방,000050,종합 소매업,1956-03-03,67163.0
1487,광동제약,009290,의약품 제조업,1989-11-17,690836.0
1488,광주신세계,037710,종합 소매업,2002-02-07,1288.0
1489,국도화학,007690,기초 화학물질 제조업,1989-08-05,15260.0
1490,금비,008870,유리 및 유리제품 제조업,1990-06-08,4787.0
1491,넷마블,251270,소프트웨어 개발 및 공급업,2017-05-12,294258.0
1492,대림산업,000210,토목 건설업,1976-02-02,305816.0
1493,대림통상,006570,기타 금속 가공제품 제조업,1975-11-20,5313.0
1494,대신증권,003540,금융 지원 서비스업,1975-10-01,271970.0
1495,대웅,003090,기타 금융업,1973-06-26,1311275.0
1496,대원강업,000430,자동차 신품 부품 제조업,1977-06-22,73762.0
1497,대원전선,006340,절연선 및 케이블 제조업,1988-05-04,760490.0
1498,대원화성,024890,플라스틱제품 제조업,1997-10-28,502610.0
1499,대유에이텍,002880,자동차 신품 부품 제조업,1977-02-18,647605.0
1500,더블유게임즈,192080,소프트웨어 개발 및 공급업,2019-03-12,518700.0
1501,동부건설,005960,토목 건설업,1978-10-30,220999.0
1502,동북아12호선박투자,083370,운송장비 임대업,2005-08-29,0.0
1503,동성제약,002210,의약품 제조업,1990-01-19,413308.0
1504,동양고속,084670,육상 여객 운송업,2005-07-25,9120.0
1505,동양철관,008970,1차 철강 제조업,1977-03-05,4307450.0
1506,동원수산,030720,어로 어업,1996-11-22,154936.0
1507,롯데쇼핑,023530,종합 소매업,2006-02-09,210353.0
1508,롯데지주,004990,기타 금융업,1974-02-16,423993.0
1509,메리츠화재,000060,보험업,1956-07-02,242639.0
1510,미원에스씨,268280,기초 화학물질 제조업,2017-05-22,6317.0
1511,부산산업,011390,"시멘트, 석회, 플라스터 및 그 제품 제조업",1990-09-14,27737.0
1512,삼광글라스,005090,유리 및 유리제품 제조업,1993-01-06,4550.0
1513,삼성엔지니어링,028050,"건축기술, 엔지니어링 및 관련 기술 서비스업",1996-12-24,2440616.0
1514,삼익악기,002450,악기 제조업,1988-09-30,883412.0
1515,삼천리,004690,연료용 가스 제조 및 배관공급업,1976-12-23,41363.0
1516,서울식품공업,004410,기타 식품 제조업,1973-12-28,8723860.0
1517,성창기업지주,000180,회사 본부 및 경영 컨설팅 서비스업,1976-06-02,72329.0
1518,세종공업,033530,자동차 신품 부품 제조업,2002-09-25,447414.0
1519,시디즈,134790,가구 제조업,2011-01-25,5527.0
1520,신도리코,029530,컴퓨터 및 주변장치 제조업,1996-12-24,41273.0
1521,쎌마테라퓨틱스,015540,기타 사업지원 서비스업,1989-09-02,552959.0
1522,씨아이테크,004920,그외 기타 제품 제조업,1989-11-30,534746.0
1523,아모레퍼시픽그룹,002790,기타 화학제품 제조업,1973-04-30,216518.0
1524,아시아나IDT,267850,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2018-11-23,203694.0
1525,아시아나항공,020560,항공 여객 운송업,2008-03-28,3684482.0
1526,알루코,001780,1차 비철금속 제조업,2007-06-07,414911.0
1527,에스제이엠홀딩스,025530,자동차 부품 및 내장품 판매업,1997-02-12,16414.0
1528,엔에스쇼핑,138250,무점포 소매업,2015-03-27,78309.0
1529,오뚜기,007310,기타 식품 제조업,1994-08-12,9402.0
1530,유양디앤유,011690,반도체 제조업,1995-12-21,0.0
1531,이리츠코크렙,088260,부동산 임대 및 공급업,2018-06-27,147736.0
1532,이수페타시스,007660,전자부품 제조업,2003-10-07,411167.0
1533,이아이디,093230,기타 전문 도매업,2007-11-01,14020430.0
1534,인디에프,014990,봉제의복 제조업,1989-06-20,4528231.0
1535,일동홀딩스,000230,의약품 제조업,1975-06-28,162542.0
1536,일진홀딩스,015860,기타 금융업,1990-03-22,837248.0
1537,자이에스앤디,317400,부동산 임대 및 공급업,2019-11-06,302154.0
1538,자화전자,033240,전자부품 제조업,1999-01-06,200367.0
1539,전방,000950,방적 및 가공사 제조업,1968-10-21,513.0
1540,제이준코스메틱,025620,기타 화학제품 제조업,1995-07-08,461288.0
1541,제이콘텐트리,036420,"영화, 비디오물, 방송프로그램 제작 및 배급업",2019-10-18,196800.0
1542,제일기획,030000,광고업,1998-03-03,1016856.0
1543,지투알,035000,회사 본부 및 경영 컨설팅 서비스업,1999-08-11,32412.0
1544,진양폴리우레탄,010640,플라스틱제품 제조업,1989-09-30,187538.0
