,회사명,종목코드,업종,상장일,최근일 거래량
143,메디톡스,086900,기초 의약물질 및 생물학적 제제 제조업,2009-01-16,694087.0
144,메탈라이프,327260,전자부품 제조업,2019-12-24,34880.0
145,모베이스전자,012860,자동차 신품 부품 제조업,1994-10-26,1040902.0
146,모비스,250060,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2016-09-08,363979.0
147,모트렉스,118990,자동차 신품 부품 제조업,2017-08-04,1097423.0
148,미래SCI,028040,상품 중개업,1996-07-27,0.0
149,미스터블루,207760,기타 정보 서비스업,2014-12-12,7431504.0
150,바디텍메드,206640,의료용품 및 기타 의약 관련제품 제조업,2014-12-29,2390010.0
151,바이넥스,053030,의약품 제조업,2001-08-07,1740838.0
152,삼보판지,023600,"펄프, 종이 및 판지 제조업",1996-05-29,62210.0
153,삼본전자,111870,영상 및 음향기기 제조업,2010-11-05,1606398.0
154,삼아제약,009300,의약품 제조업,2000-07-19,54362.0
155,상지카일룸,042940,건물 건설업,2000-10-19,2090381.0
156,서암기계공업,100660,일반 목적용 기계 제조업,2011-12-19,387548.0
157,성창오토텍,080470,자동차 신품 부품 제조업,2006-11-03,138388.0
158,세보엠이씨,011560,건물설비 설치 공사업,1996-12-23,50709.0
159,세종메디칼,258830,의료용 기기 제조업,2018-05-29,29427.0
160,세코닉스,053450,사진장비 및 광학기기 제조업,2001-08-09,300352.0
161,셀루메드,049180,기초 의약물질 및 생물학적 제제 제조업,2002-05-23,0.0
162,셀바스헬스케어,208370,의료용 기기 제조업,2014-12-17,288240.0
163,스페코,013810,특수 목적용 기계 제조업,1997-11-03,2571650.0
164,승일,049830,기타 금속 가공제품 제조업,2001-01-18,43181.0
165,심텍,222800,전자부품 제조업,2015-08-07,718227.0
166,싸이토젠,217330,자연과학 및 공학 연구개발업,2018-11-22,253099.0
167,씨유메디칼,115480,의료용 기기 제조업,2011-12-15,2302288.0
168,씨케이에이치,900120,기타 금융업,2010-03-31,476000.0
169,아나패스,123860,반도체 제조업,2010-11-05,115433.0
170,아바텍,149950,전자부품 제조업,2012-11-06,32396.0
